item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,prompt_active,prompt_passive,prompt_no_demo,prompt_filler
954,a kid teaches a king .,a king is taught by a kid .,a child strikes a colonel .,a colonel is struck by a child .,The package arrived before noon .,involving_event,did_to,mary_answered,"There was a teaching event involving a kid and a king.
The one who did it was a kid.
The one it happened to was a king.

Bridget asked, ""What happened?""
Mary answered, ""A kid teaches a king.""

There was a striking event involving a child and a colonel.
The one who did it was a child.
The one it happened to was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a teaching event involving a kid and a king.
The one who did it was a kid.
The one it happened to was a king.

Bridget asked, ""What happened?""
Mary answered, ""A king is taught by a kid.""

There was a striking event involving a child and a colonel.
The one who did it was a child.
The one it happened to was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a striking event involving a child and a colonel.
The one who did it was a child.
The one it happened to was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The package arrived before noon.""

There was a striking event involving a child and a colonel.
The one who did it was a child.
The one it happened to was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The"
955,a woman protects a worker .,a worker is protected by a woman .,a captain raises a champion .,a champion is raised by a captain .,The sculpture stood in the hallway .,involving_event,did_to,mary_answered,"There was a protecting event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""A woman protects a worker.""

There was a raising event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""A worker is protected by a woman.""

There was a raising event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a raising event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The sculpture stood in the hallway.""

There was a raising event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The"
956,a brother beats a buddy .,a buddy is beaten by a brother .,a minister chases a mother .,a mother is chased by a minister .,The captain waited beside the harbor .,involving_event,did_to,mary_answered,"There was a beating event involving a brother and a buddy.
The one who did it was a brother.
The one it happened to was a buddy.

Bridget asked, ""What happened?""
Mary answered, ""A brother beats a buddy.""

There was a chasing event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving a brother and a buddy.
The one who did it was a brother.
The one it happened to was a buddy.

Bridget asked, ""What happened?""
Mary answered, ""A buddy is beaten by a brother.""

There was a chasing event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a chasing event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The captain waited beside the harbor.""

There was a chasing event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""The"
957,a bishop bothers a boy .,a boy is bothered by a bishop .,a mayor raises a minister .,a minister is raised by a mayor .,The teacher listened during assembly .,involving_event,did_to,mary_answered,"There was a bothering event involving a bishop and a boy.
The one who did it was a bishop.
The one it happened to was a boy.

Bridget asked, ""What happened?""
Mary answered, ""A bishop bothers a boy.""

There was a raising event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a bothering event involving a bishop and a boy.
The one who did it was a bishop.
The one it happened to was a boy.

Bridget asked, ""What happened?""
Mary answered, ""A boy is bothered by a bishop.""

There was a raising event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a raising event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The teacher listened during assembly.""

There was a raising event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The"
958,a soldier punches a son .,a son is punched by a soldier .,a man beats a manager .,a manager is beaten by a man .,The violin echoed in the theater .,involving_event,did_to,mary_answered,"There was a punching event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A soldier punches a son.""

There was a beating event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a punching event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A son is punched by a soldier.""

There was a beating event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The violin echoed in the theater.""

There was a beating event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""The"
959,a leader kisses a man .,a man is kissed by a leader .,a nurse asks an opponent .,an opponent is asked by a nurse .,The pillow rested on the sofa .,involving_event,did_to,mary_answered,"There was a kissing event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""A leader kisses a man.""

There was a asking event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""A man is kissed by a leader.""

There was a asking event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a asking event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The pillow rested on the sofa.""

There was a asking event involving a nurse and an opponent.
The one who did it was a nurse.
The one it happened to was an opponent.

Bridget asked, ""What happened?""
Mary answered, ""The"
960,a king describes a lady .,a lady is described by a king .,an author helps a bishop .,a bishop is helped by an author .,The lantern glowed near sunset .,involving_event,did_to,mary_answered,"There was a describing event involving a king and a lady.
The one who did it was a king.
The one it happened to was a lady.

Bridget asked, ""What happened?""
Mary answered, ""A king describes a lady.""

There was a helping event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a king and a lady.
The one who did it was a king.
The one it happened to was a lady.

Bridget asked, ""What happened?""
Mary answered, ""A lady is described by a king.""

There was a helping event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a helping event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was a helping event involving an author and a bishop.
The one who did it was an author.
The one it happened to was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"
961,an employer describes a father .,a father is described by an employer .,an aunt selects an author .,an author is selected by an aunt .,The traveler rested beside the river .,involving_event,did_to,mary_answered,"There was a describing event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""An employer describes a father.""

There was a selecting event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving an employer and a father.
The one who did it was an employer.
The one it happened to was a father.

Bridget asked, ""What happened?""
Mary answered, ""A father is described by an employer.""

There was a selecting event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a selecting event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was a selecting event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The"
962,a son discovers a student .,a student is discovered by a son .,an opponent carries a parent .,a parent is carried by an opponent .,The notebook stayed on the shelf .,involving_event,did_to,mary_answered,"There was a discovering event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""A son discovers a student.""

There was a carrying event involving an opponent and a parent.
The one who did it was an opponent.
The one it happened to was a parent.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a discovering event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""A student is discovered by a son.""

There was a carrying event involving an opponent and a parent.
The one who did it was an opponent.
The one it happened to was a parent.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving an opponent and a parent.
The one who did it was an opponent.
The one it happened to was a parent.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was a carrying event involving an opponent and a parent.
The one who did it was an opponent.
The one it happened to was a parent.

Bridget asked, ""What happened?""
Mary answered, ""The"
963,a wife teaches a winner .,a winner is taught by a wife .,a mayor grabs a minister .,a minister is grabbed by a mayor .,The window rattled during the storm .,involving_event,did_to,mary_answered,"There was a teaching event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""A wife teaches a winner.""

There was a grabbing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a teaching event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""A winner is taught by a wife.""

There was a grabbing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a grabbing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was a grabbing event involving a mayor and a minister.
The one who did it was a mayor.
The one it happened to was a minister.

Bridget asked, ""What happened?""
Mary answered, ""The"
964,a hero washes a husband .,a husband is washed by a hero .,a friend selects a girl .,a girl is selected by a friend .,The singer smiled after rehearsal .,involving_event,did_to,mary_answered,"There was a washing event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""A hero washes a husband.""

There was a selecting event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a washing event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""A husband is washed by a hero.""

There was a selecting event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a selecting event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was a selecting event involving a friend and a girl.
The one who did it was a friend.
The one it happened to was a girl.

Bridget asked, ""What happened?""
Mary answered, ""The"
965,a winner kisses a woman .,a woman is kissed by a winner .,a lawyer hurries a leader .,a leader is hurried by a lawyer .,The painter waited near the doorway .,involving_event,did_to,mary_answered,"There was a kissing event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""A winner kisses a woman.""

There was a hurrying event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving a winner and a woman.
The one who did it was a winner.
The one it happened to was a woman.

Bridget asked, ""What happened?""
Mary answered, ""A woman is kissed by a winner.""

There was a hurrying event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurrying event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was a hurrying event involving a lawyer and a leader.
The one who did it was a lawyer.
The one it happened to was a leader.

Bridget asked, ""What happened?""
Mary answered, ""The"
966,a pilot describes a president .,a president is described by a pilot .,an uncle drags a wife .,a wife is dragged by an uncle .,The engine cooled before dawn .,involving_event,did_to,mary_answered,"There was a describing event involving a pilot and a president.
The one who did it was a pilot.
The one it happened to was a president.

Bridget asked, ""What happened?""
Mary answered, ""A pilot describes a president.""

There was a dragging event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a pilot and a president.
The one who did it was a pilot.
The one it happened to was a president.

Bridget asked, ""What happened?""
Mary answered, ""A president is described by a pilot.""

There was a dragging event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a dragging event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was a dragging event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The"
967,a minister hurries a mother .,a mother is hurried by a minister .,an aunt chases an author .,an author is chased by an aunt .,The market opened after sunrise .,involving_event,did_to,mary_answered,"There was a hurrying event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A minister hurries a mother.""

There was a chasing event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurrying event involving a minister and a mother.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A mother is hurried by a minister.""

There was a chasing event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a chasing event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was a chasing event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""The"
968,a professor follows a reader .,a reader is followed by a professor .,a girl forgives a guest .,a guest is forgiven by a girl .,The blanket dried on the line .,involving_event,did_to,mary_answered,"There was a following event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""A professor follows a reader.""

There was a forgiving event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a following event involving a professor and a reader.
The one who did it was a professor.
The one it happened to was a reader.

Bridget asked, ""What happened?""
Mary answered, ""A reader is followed by a professor.""

There was a forgiving event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgiving event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The blanket dried on the line.""

There was a forgiving event involving a girl and a guest.
The one who did it was a girl.
The one it happened to was a guest.

Bridget asked, ""What happened?""
Mary answered, ""The"
969,a cop teaches a cousin .,a cousin is taught by a cop .,a manager selects a mayor .,a mayor is selected by a manager .,The planet shimmered above the valley .,involving_event,did_to,mary_answered,"There was a teaching event involving a cop and a cousin.
The one who did it was a cop.
The one it happened to was a cousin.

Bridget asked, ""What happened?""
Mary answered, ""A cop teaches a cousin.""

There was a selecting event involving a manager and a mayor.
The one who did it was a manager.
The one it happened to was a mayor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a teaching event involving a cop and a cousin.
The one who did it was a cop.
The one it happened to was a cousin.

Bridget asked, ""What happened?""
Mary answered, ""A cousin is taught by a cop.""

There was a selecting event involving a manager and a mayor.
The one who did it was a manager.
The one it happened to was a mayor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a selecting event involving a manager and a mayor.
The one who did it was a manager.
The one it happened to was a mayor.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The planet shimmered above the valley.""

There was a selecting event involving a manager and a mayor.
The one who did it was a manager.
The one it happened to was a mayor.

Bridget asked, ""What happened?""
Mary answered, ""The"
970,a candidate catches a captain .,a captain is caught by a candidate .,a son discovers a student .,a student is discovered by a son .,The baker laughed during breakfast .,involving_event,did_to,mary_answered,"There was a catching event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""A candidate catches a captain.""

There was a discovering event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a catching event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""A captain is caught by a candidate.""

There was a discovering event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a discovering event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The baker laughed during breakfast.""

There was a discovering event involving a son and a student.
The one who did it was a son.
The one it happened to was a student.

Bridget asked, ""What happened?""
Mary answered, ""The"
971,a cousin follows a daughter .,a daughter is followed by a cousin .,a student forgives a teacher .,a teacher is forgiven by a student .,The signal flickered across the screen .,involving_event,did_to,mary_answered,"There was a following event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""A cousin follows a daughter.""

There was a forgiving event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a following event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""A daughter is followed by a cousin.""

There was a forgiving event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgiving event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The signal flickered across the screen.""

There was a forgiving event involving a student and a teacher.
The one who did it was a student.
The one it happened to was a teacher.

Bridget asked, ""What happened?""
Mary answered, ""The"
972,a king raises a lady .,a lady is raised by a king .,a partner judges a physician .,a physician is judged by a partner .,The tourist wandered through the plaza .,involving_event,did_to,mary_answered,"There was a raising event involving a king and a lady.
The one who did it was a king.
The one it happened to was a lady.

Bridget asked, ""What happened?""
Mary answered, ""A king raises a lady.""

There was a judging event involving a partner and a physician.
The one who did it was a partner.
The one it happened to was a physician.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a raising event involving a king and a lady.
The one who did it was a king.
The one it happened to was a lady.

Bridget asked, ""What happened?""
Mary answered, ""A lady is raised by a king.""

There was a judging event involving a partner and a physician.
The one who did it was a partner.
The one it happened to was a physician.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving a partner and a physician.
The one who did it was a partner.
The one it happened to was a physician.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The tourist wandered through the plaza.""

There was a judging event involving a partner and a physician.
The one who did it was a partner.
The one it happened to was a physician.

Bridget asked, ""What happened?""
Mary answered, ""The"
973,a physician comforts a pilot .,a pilot is comforted by a physician .,a reader surprises a scientist .,a scientist is surprised by a reader .,The kettle whistled in the kitchen .,involving_event,did_to,mary_answered,"There was a comforting event involving a physician and a pilot.
The one who did it was a physician.
The one it happened to was a pilot.

Bridget asked, ""What happened?""
Mary answered, ""A physician comforts a pilot.""

There was a surprising event involving a reader and a scientist.
The one who did it was a reader.
The one it happened to was a scientist.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a comforting event involving a physician and a pilot.
The one who did it was a physician.
The one it happened to was a pilot.

Bridget asked, ""What happened?""
Mary answered, ""A pilot is comforted by a physician.""

There was a surprising event involving a reader and a scientist.
The one who did it was a reader.
The one it happened to was a scientist.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a surprising event involving a reader and a scientist.
The one who did it was a reader.
The one it happened to was a scientist.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The kettle whistled in the kitchen.""

There was a surprising event involving a reader and a scientist.
The one who did it was a reader.
The one it happened to was a scientist.

Bridget asked, ""What happened?""
Mary answered, ""The"
974,an aunt bothers an author .,an author is bothered by an aunt .,an uncle helps a wife .,a wife is helped by an uncle .,The garden brightened after rain .,involving_event,did_to,mary_answered,"There was a bothering event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""An aunt bothers an author.""

There was a helping event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a bothering event involving an aunt and an author.
The one who did it was an aunt.
The one it happened to was an author.

Bridget asked, ""What happened?""
Mary answered, ""An author is bothered by an aunt.""

There was a helping event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a helping event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The garden brightened after rain.""

There was a helping event involving an uncle and a wife.
The one who did it was an uncle.
The one it happened to was a wife.

Bridget asked, ""What happened?""
Mary answered, ""The"
975,a soldier forgives a son .,a son is forgiven by a soldier .,a leader asks a man .,a man is asked by a leader .,The jacket hung behind the chair .,involving_event,did_to,mary_answered,"There was a forgiving event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A soldier forgives a son.""

There was a asking event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgiving event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A son is forgiven by a soldier.""

There was a asking event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a asking event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The jacket hung behind the chair.""

There was a asking event involving a leader and a man.
The one who did it was a leader.
The one it happened to was a man.

Bridget asked, ""What happened?""
Mary answered, ""The"
976,a chief beats a child .,a child is beaten by a chief .,a scientist kisses a secretary .,a secretary is kissed by a scientist .,The radio crackled in the attic .,involving_event,did_to,mary_answered,"There was a beating event involving a chief and a child.
The one who did it was a chief.
The one it happened to was a child.

Bridget asked, ""What happened?""
Mary answered, ""A chief beats a child.""

There was a kissing event involving a scientist and a secretary.
The one who did it was a scientist.
The one it happened to was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving a chief and a child.
The one who did it was a chief.
The one it happened to was a child.

Bridget asked, ""What happened?""
Mary answered, ""A child is beaten by a chief.""

There was a kissing event involving a scientist and a secretary.
The one who did it was a scientist.
The one it happened to was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving a scientist and a secretary.
The one who did it was a scientist.
The one it happened to was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The radio crackled in the attic.""

There was a kissing event involving a scientist and a secretary.
The one who did it was a scientist.
The one it happened to was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""The"
977,a woman hurts a worker .,a worker is hurt by a woman .,a cousin follows a daughter .,a daughter is followed by a cousin .,The witness paused near the doorway .,involving_event,did_to,mary_answered,"There was a hurting event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""A woman hurts a worker.""

There was a following event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurting event involving a woman and a worker.
The one who did it was a woman.
The one it happened to was a worker.

Bridget asked, ""What happened?""
Mary answered, ""A worker is hurt by a woman.""

There was a following event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a following event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The witness paused near the doorway.""

There was a following event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""The"
978,a cousin catches a daughter .,a daughter is caught by a cousin .,a physician describes a pilot .,a pilot is described by a physician .,The package arrived before noon .,involving_event,did_to,mary_answered,"There was a catching event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""A cousin catches a daughter.""

There was a describing event involving a physician and a pilot.
The one who did it was a physician.
The one it happened to was a pilot.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a catching event involving a cousin and a daughter.
The one who did it was a cousin.
The one it happened to was a daughter.

Bridget asked, ""What happened?""
Mary answered, ""A daughter is caught by a cousin.""

There was a describing event involving a physician and a pilot.
The one who did it was a physician.
The one it happened to was a pilot.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a describing event involving a physician and a pilot.
The one who did it was a physician.
The one it happened to was a pilot.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The package arrived before noon.""

There was a describing event involving a physician and a pilot.
The one who did it was a physician.
The one it happened to was a pilot.

Bridget asked, ""What happened?""
Mary answered, ""The"
